Год постройки,Парковка,Пассажирский лифт,Санузел,Способ продажи,Двор,Тип дома,Долгота,Цена,Грузовой лифт,Тип комнат,Количество комнат,Метро (минут),В доме,Ремонт,Этаж (текущий),Площадь кухни,Широта,Этажей в доме,Общая площадь,Район,Расстояние до центра,Доля жилой площади,Есть консьерж,Есть мусоропровод,Есть газ,Детская площадка,Спорт площадка,Закрытая территория
,Unknown,1,совмещенный,договор долевого участия,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.49659,30670000,1,Unknown,0.0,13.0,Unknown,Unknown,13.0,,55.71491,14.0,44.7,6,0.12773179792049077,0.3087248322147651,0,0,0,1,1,1
,"подземная, открытая во дворе",4,совмещенный,Unknown,Unknown,монолитный,37.31632,14701373,0,Unknown,3.0,,Unknown,Unknown,14.0,21.7,55.54974,23.0,62.5,6,0.36500734513157906,0.37439999999999996,0,0,0,0,0,0
1917.0,за шлагбаумом во дворе,1,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.651187,2640000,0,Unknown,0.0,8.0,Unknown,требует ремонта,1.0,,55.755267,6.0,12.4,5,0.03359122888493074,0.7580645161290323,0,0,0,1,1,1
,Unknown,0,Unknown,возможна ипотека,Unknown,монолитно-кирпичный,37.44298,23693700,0,Unknown,1.0,13.0,Unknown,Unknown,17.0,,55.7123,35.0,41.8,6,0.17995664589006347,0.37559808612440193,0,0,0,0,0,0
,подземная,0,Unknown,Unknown,Unknown,монолитный,37.59913,39228800,0,изолированные,2.0,13.0,Unknown,Unknown,3.0,,55.79841,22.0,82.0,3,0.0464408548586232,,0,0,0,0,0,0
,подземная,4,совмещенный,договор долевого участия,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.46223,23961877,0,Unknown,1.0,25.5,Unknown,Unknown,18.0,5.1,55.79072,25.0,38.7,2,0.15924585803091235,0.661498708010336,0,0,0,1,1,1
1957.0,Unknown,1,раздельный,свободная,Unknown,кирпичный,37.58332,34000000,0,"изолированные, смежные",2.0,13.0,"мусоропровод, газ",косметический,2.0,6.5,55.721143,11.0,46.5,3,0.04874654909837587,0.6,0,1,1,0,0,0
,подземная,1,Unknown,Unknown,Unknown,монолитный,37.50737,35481753,0,изолированные,2.0,8.0,Unknown,Unknown,23.0,,55.77342,46.0,60.2,3,0.11162937471830761,0.41860465116279066,0,0,0,0,0,0
,подземная,1,совмещенный,договор долевого участия,закрытая территория,монолитный,37.60233,22530000,1,Unknown,0.0,8.0,Unknown,Unknown,20.0,,55.81984,21.0,25.2,4,0.06583535904056302,0.39682539682539686,0,0,0,0,0,1
,подземная,3,совмещенный,возможна ипотека,"детская площадка, спортивная площадка",монолитный,37.64626,32873971,2,изолированные,2.0,13.0,Unknown,Unknown,23.0,,55.72493,47.0,49.4,5,0.04212306375371722,,0,0,0,1,1,0
,Unknown,0,Unknown,Unknown,"детская площадка, спортивная площадка",монолитный,37.62078,20952915,0,Unknown,1.0,8.0,Unknown,Unknown,45.0,,55.80229,49.0,39.9,4,0.04659863195416654,0.30827067669172936,0,0,0,1,1,0
,Unknown,1,совмещенный,договор долевого участия,Unknown,монолитный,37.72405,23351937,1,изолированные,3.0,18.0,Unknown,Unknown,2.0,24.4,55.71837,24.0,84.0,5,0.11283885589635793,0.42500000000000004,0,0,0,0,0,0
1950.0,за шлагбаумом во дворе,1,раздельный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.653837,41000000,0,"изолированные, смежные",4.0,8.0,газ,требует ремонта,7.0,8.5,55.76526,8.0,70.4,4,0.03745145883673873,,0,0,1,1,1,1
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.72797,18808780,0,Unknown,1.0,18.0,Unknown,Unknown,21.0,,55.72055,33.0,44.6,5,0.11586241582152074,,0,0,0,0,0,0
,подземная,2,совмещенный,договор долевого участия,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.71307,13694158,1,Unknown,0.0,31.0,Unknown,Unknown,3.0,,55.69254,25.0,25.1,5,0.11452662790809713,0.50199203187251,0,0,0,1,1,1
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.64648,38870328,0,изолированные,2.0,31.0,Unknown,Unknown,2.0,20.7,55.69157,13.0,78.2,5,0.07042405341926791,0.3695652173913043,0,0,0,0,0,0
,подземная,1,совмещенный,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.43694,22565760,1,изолированные,2.0,25.5,Unknown,Unknown,4.0,,55.83067,30.0,58.4,2,0.19555958810552018,0.40410958904109595,0,0,0,1,1,1
,открытая во дворе,0,совмещенный,свободная,Unknown,кирпичный,37.661626,7128000,0,Unknown,0.0,8.0,Unknown,требует ремонта,1.0,,55.7816,5.0,20.3,4,0.051028704431911764,0.9359605911330049,0,0,0,0,0,0
,открытая во дворе,1,совмещенный,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.68849,27346000,1,изолированные,2.0,13.0,Unknown,Unknown,3.0,18.1,55.75145,25.0,60.5,5,0.07102333841773292,0.45619834710743806,0,0,0,1,1,1
,Unknown,0,совмещенный,возможна ипотека,Unknown,монолитный,37.63893,27825184,0,изолированные,2.0,13.0,Unknown,Unknown,5.0,6.5,55.6965,43.0,58.9,5,0.06301951205777459,0.6587436332767402,0,0,0,0,0,0
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.64203,43929040,0,Unknown,3.0,25.5,Unknown,Unknown,19.0,,55.71261,21.0,90.8,5,0.04962057033126489,0.6255506607929515,0,0,0,0,0,0
2022.0,подземная,1,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.473411,29400000,1,изолированные,3.0,8.0,Unknown,дизайнерский,9.0,6.0,55.773854,53.0,53.0,2,0.14531488098952988,,0,0,0,1,1,1
2022.0,"открытая во дворе, за шлагбаумом во дворе",1,совмещенный,альтернативная,"детская площадка, спортивная площадка",монолитный,37.87482452,10800000,1,Unknown,1.0,,Unknown,косметический,7.0,11.0,55.81936264,13.0,44.1,1,0.26496162532147377,0.5215419501133787,0,0,0,1,1,0
,подземная,1,совмещенный,Unknown,Unknown,монолитный,37.64394,8947950,1,Unknown,0.0,18.0,Unknown,Unknown,20.0,,55.62807,26.0,25.0,0,0.1304175927549646,0.32,0,0,0,0,0,0
1975.0,открытая во дворе,2,раздельный,свободная,детская площадка,панельный,37.691647,13800000,1,изолированные,2.0,25.5,"консьерж, мусоропровод",требует ремонта,16.0,11.0,55.861939,16.0,54.1,4,0.12941578547456947,0.5249537892791127,1,1,0,1,0,0
,Unknown,0,совмещенный,возможна ипотека,Unknown,монолитный,37.63422,26998909,0,изолированные,2.0,31.0,Unknown,Unknown,5.0,16.5,55.68931,43.0,53.6,5,0.06853571696568218,0.4533582089552239,0,0,0,0,0,0
,наземная многоуровневая,2,раздельный,договор долевого участия,Unknown,монолитно-кирпичный,37.61918,17280000,1,Unknown,1.0,18.0,Unknown,Unknown,3.0,16.0,55.82107,8.0,43.2,4,0.06528912083953767,0.28935185185185186,0,0,0,0,0,0
,подземная,0,Unknown,договор долевого участия,Unknown,монолитный,37.54363,43664073,0,Unknown,0.0,5.0,Unknown,Unknown,26.0,,55.7525,87.0,45.7,3,0.07404357433295902,,0,0,0,0,0,0
1935.0,открытая во дворе,1,совмещенный,свободная,спортивная площадка,кирпичный,37.602633,3108000,1,Unknown,0.0,13.0,Unknown,косметический,2.0,,55.796774,5.0,14.7,3,0.043622010098115026,0.48299319727891155,0,0,0,0,1,0
,Unknown,0,Unknown,возможна ипотека,"детская площадка, спортивная площадка",монолитный,37.43806,37800000,0,Unknown,1.0,25.5,Unknown,Unknown,59.0,,55.7085,59.0,56.0,6,0.1856661024527661,0.5946428571428571,0,0,0,1,1,0
